# e0bc707b-5987-498d-9d92-59a36068fb99
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
315.9098583; -298.4691542; 697.2153631; -0.4463782; -0.0033370; 50.8049217; 1.6633855
317.9092878; -297.6002314; 699.0154879; -0.4530485; -0.0033376; 50.8703422; 1.6552753
319.9087172; -296.7189116; 700.8105977; -0.4597243; -0.0033385; 50.9353603; 1.6441025
321.9081467; -295.8256543; 702.5997298; -0.4664001; -0.0033383; 50.9998574; 1.6301504
323.9075762; -294.9208900; 704.3820460; -0.4730717; -0.0033371; 51.0637269; 1.6222877
325.9070057; -294.0038346; 706.1590997; -0.4797438; -0.0033354; 51.1272090; 1.6121759
327.9064352; -293.0748842; 707.9301167; -0.4864115; -0.0033330; 51.1902175; 1.5978306
329.9058647; -292.1346316; 709.6940079; -0.4930697; -0.0033290; 51.2525888; 1.5903440
331.9052941; -291.1822650; 711.4523311; -0.4997230; -0.0033248; 51.3145927; 1.5811147
333.9047236; -290.2181397; 713.2044449; -0.5063674; -0.0033203; 51.3761626; 1.5668968
335.9041531; -289.2428377; 714.9493466; -0.5129983; -0.0033140; 51.4371061; 1.5598582
337.9035826; -288.2556707; 716.6883192; -0.5196200; -0.0033085; 51.4977041; 1.5513512
339.9030121; -287.2569591; 718.4208283; -0.5262309; -0.0033036; 51.5579011; 1.5376533
341.9024416; -286.2471230; 720.1462001; -0.5328263; -0.0032945; 51.6174973; 1.5310957
343.9018710; -285.2257323; 721.8652363; -0.5394077; -0.0032901; 51.6767710; 1.5232089
345.9013005; -284.1930477; 723.5775242; -0.5459874; -0.0032912; 51.7356720; 1.5101622
347.9007300; -283.1492507; 725.2828352; -0.5525067; -0.0032248; 51.7940024; 1.5040362
349.9001595; -282.0943639; 726.9815562; -0.5589008; -0.0031922; 51.8520309; 1.4966693
351.8995890; -281.0287791; 728.6732902; -0.5653042; -0.0032138; 51.9097109; 1.4845060
353.8990184; -279.9521941; 730.3583578; -0.5717712; -0.0032559; 51.9668588; 1.4785909
355.8984479; -278.8648049; 732.0361650; -0.5783160; -0.0032795; 52.0237166; 1.4714839
357.8978774; -277.7664809; 733.7067529; -0.5848685; -0.0032752; 52.0802395; 1.4591830
359.8973069; -276.6570983; 735.3703213; -0.5914173; -0.0032754; 52.1362294; 1.4532078
361.8967364; -275.5369376; 737.0264517; -0.5979663; -0.0032752; 52.1919303; 1.4461695
363.8961659; -274.4059838; 738.6751717; -0.6045132; -0.0032738; 52.2473024; 1.4338291
365.8955953; -273.2641663; 740.3165911; -0.6110581; -0.0032727; 52.3021443; 1.4278452
367.8950248; -272.1116965; 741.9504135; -0.6176000; -0.0032712; 52.3567001; 1.4209520
369.8944543; -270.9485758; 743.5766494; -0.6241386; -0.0032694; 52.4109362; 1.4085387
371.8938838; -269.7748023; 745.1953125; -0.6306737; -0.0032675; 52.4646431; 1.4025545
373.8933133; -268.5905119; 746.8062283; -0.6372045; -0.0032652; 52.5180673; 1.3958260
375.8927428; -267.3957193; 748.4093925; -0.6437307; -0.0032628; 52.5711814; 1.3833275
377.8921722; -266.1905010; 750.0047188; -0.6502517; -0.0032601; 52.6237669; 1.3773513
379.8916017; -264.9749096; 751.5921552; -0.6567671; -0.0032572; 52.6760731; 1.3707916
381.8910312; -263.7489697; 753.1716881; -0.6632766; -0.0032540; 52.7280786; 1.3582121
383.8904607; -262.5128476; 754.7431246; -0.6697793; -0.0032507; 52.7795564; 1.3522524
385.8898902; -261.2665032; 756.3065380; -0.6762752; -0.0032471; 52.8307585; 1.3458512
387.8893197; -260.0099693; 757.8619080; -0.6827639; -0.0032431; 52.8816689; 1.3332037
389.8887491; -258.7435174; 759.4089301; -0.6892393; -0.0032343; 52.9320527; 1.3272383
391.8881786; -257.4670048; 760.9478350; -0.6956886; -0.0032081; 52.9821634; 1.3209378
393.8876081; -256.1805672; 762.4786199; -0.7020593; -0.0031640; 53.0319893; 1.3083112
395.8870376; -254.8845462; 764.0010717; -0.7084169; -0.0031977; 53.0812927; 1.3025784
397.8864671; -253.5787376; 765.5153021; -0.7148399; -0.0032186; 53.1303347; 1.2965994
399.8858966; -252.2632844; 767.0210185; -0.7212793; -0.0032229; 53.1791067; 1.2844977
401.8853260; -250.9380770; 768.5183223; -0.7277216; -0.0032210; 53.2273793; 1.2790152
403.8847555; -249.6032802; 770.0070303; -0.7341607; -0.0032196; 53.2754025; 1.2733739
405.8841850; -248.2590679; 771.4869604; -0.7405966; -0.0032187; 53.3231709; 1.2617400
407.8836145; -246.9051036; 772.9584876; -0.7470314; -0.0032174; 53.3704607; 1.2564850
409.8830440; -245.5418198; 774.4211456; -0.7534636; -0.0032163; 53.4175119; 1.2511965
411.8824734; -244.1693888; 775.8747632; -0.7598924; -0.0032155; 53.4643240; 1.2399184
413.8819029; -242.7872063; 777.3199825; -0.7663209; -0.0032139; 53.5106737; 1.2348352
415.8813324; -241.3959706; 778.7560763; -0.7727459; -0.0032125; 53.5567935; 1.2297194
417.8807619; -239.9958378; 780.1829016; -0.7791663; -0.0032111; 53.6026828; 1.2190127
419.8801914; -238.5860206; 781.6012648; -0.7855858; -0.0032090; 53.6481338; 1.2138614
421.8796209; -237.1673838; 783.0103008; -0.7920003; -0.0032069; 53.6933546; 1.2088578
423.8790503; -235.7400828; 784.4098787; -0.7984087; -0.0032047; 53.7383511; 1.1987081
425.8784798; -234.3032436; 785.8008638; -0.8048144; -0.0032016; 53.7829326; 1.1933511
427.8779093; -232.8577838; 787.1823775; -0.8112134; -0.0031992; 53.8272783; 1.1884033
429.8773388; -231.4038665; 788.5542887; -0.8176063; -0.0031966; 53.8714037; 1.1787858
431.8767683; -229.9406490; 789.9174065; -0.8239917; -0.0031896; 53.9151365; 1.1731330
433.8761978; -228.4689618; 791.2709760; -0.8303792; -0.0032109; 53.9586243; 1.1682484
435.8756272; -226.9889845; 792.6147331; -0.8368382; -0.0032509; 54.0018962; 1.1593601
437.8750567; -225.4999181; 793.9491938; -0.8433722; -0.0032836; 54.0448047; 1.1530616
439.8744862; -224.0023885; 795.2736425; -0.8499212; -0.0032426; 54.0874462; 1.1479957
441.8739157; -222.4961502; 796.5884952; -0.8563236; -0.0031729; 54.1298671; 1.1392478
443.8733452; -220.9815886; 797.8937303; -0.8626714; -0.0031769; 54.1719319; 1.1324986
445.8727747; -219.4587952; 799.1892968; -0.8690238; -0.0031757; 54.2137151; 1.1275273
447.8722041; -217.9276933; 800.4752640; -0.8753691; -0.0031718; 54.2552830; 1.1195213
449.8716336; -216.3885449; 801.7514287; -0.8817102; -0.0031712; 54.2965242; 1.1123441
451.8710631; -214.8414013; 803.0177563; -0.8880491; -0.0031698; 54.3374700; 1.1074492
453.8704926; -213.2860899; 804.2743933; -0.8943854; -0.0031680; 54.3782050; 1.1000303
455.8699221; -211.7229281; 805.5210906; -0.9007182; -0.0031665; 54.4186369; 1.0925442
457.8693516; -210.1520158; 806.7577792; -0.9070474; -0.0031649; 54.4587640; 1.0877723
459.8687810; -208.5731164; 807.9846525; -0.9133739; -0.0031631; 54.4986864; 1.0809279
461.8682105; -206.9865389; 809.2014769; -0.9196968; -0.0031614; 54.5383287; 1.0732539
463.8676400; -205.3924483; 810.4081379; -0.9260155; -0.0031595; 54.5776611; 1.0686397
465.8670695; -203.7905779; 811.6048455; -0.9323313; -0.0031577; 54.6167962; 1.0623449
467.8664990; -202.1812048; 812.7914001; -0.9386430; -0.0031557; 54.6556731; 1.0545968
469.8659285; -200.5645375; 813.9676598; -0.9449508; -0.0031545; 54.6942390; 1.0501630
471.8653579; -198.9403078; 815.1338259; -0.9512569; -0.0031521; 54.7326158; 1.0443842
473.8647874; -197.3087713; 816.2897247; -0.9575552; -0.0031480; 54.7707548; 1.0366653
475.8642169; -195.6701548; 817.4352130; -0.9638517; -0.0031515; 54.8085856; 1.0323227
477.8636464; -194.0241708; 818.5704844; -0.9701407; -0.0031120; 54.8462321; 1.0268561
479.8630759; -192.3711893; 819.6954888; -0.9762546; -0.0030042; 54.8836535; 1.0190479
481.8625053; -190.7111442; 820.8106878; -0.9822687; -0.0030257; 54.9207652; 1.0150859
483.8619348; -189.0445764; 821.9156882; -0.9883669; -0.0030793; 54.9577077; 1.0104180
485.8613643; -187.3717670; 823.0100574; -0.9945895; -0.0031467; 54.9944557; 1.0028464
487.8607938; -185.6912875; 824.0944555; -1.0008848; -0.0031425; 55.0309040; 0.9987584
489.8602233; -184.0045923; 825.1679123; -1.0071582; -0.0031359; 55.0671798; 0.9942161
491.8596528; -182.3115489; 826.2305539; -1.0134267; -0.0031361; 55.1032669; 0.9860165
493.8590822; -180.6109507; 827.2831345; -1.0196943; -0.0031312; 55.1390330; 0.9817892
495.8585117; -178.9043415; 828.3247125; -1.0259513; -0.0031300; 55.1746228; 0.9775249
497.8579412; -177.1916626; 829.3553416; -1.0322104; -0.0031319; 55.2100352; 0.9687644
499.8573707; -175.4717643; 830.3757532; -1.0384061; -0.0030637; 55.2451078; 0.9643341
501.8568002; -173.7456646; 831.3856011; -1.0444571; -0.0029844; 55.2799979; 0.9600791
503.8562297; -172.0143613; 832.3846707; -1.0503464; -0.0029265; 55.3147123; 0.9537064
505.8556591; -170.2760132; 833.3741369; -1.0563778; -0.0031043; 55.3491746; 0.9506950
507.8550886; -168.5315196; 834.3528626; -1.0626512; -0.0030953; 55.3835068; 0.9488362
509.8545181; -166.7828822; 835.3197377; -1.0687538; -0.0032119; 55.4177507; 0.9488348
511.8539476; -165.0265986; 836.2754497; -1.0766057; -0.0046362; 55.4519733; 0.9490939
513.8533771; -163.2676981; 837.2119815; -1.0865255; -0.0049912; 55.4861842; 0.9466459
515.8528066; -161.4932159; 838.1344054; -1.0960476; -0.0039668; 55.5202859; 0.9382595
517.8522360; -159.7117517; 839.0434113; -1.1008995; -0.0009468; 55.5540647; 0.9341532
519.8516655; -157.9243620; 839.9499992; -1.1019314; -0.0007419; 55.5876754; 0.9347989
521.8510950; -156.1369922; 840.8531718; -1.1041807; -0.0017126; 55.6212890; 0.9406520
523.8505245; -154.3492847; 841.7484538; -1.1094621; -0.0035819; 55.6550925; 0.9431692
525.8499540; -152.5560498; 842.6312363; -1.1171535; -0.0036179; 55.6889659; 0.9440592
527.8493835; -150.7573177; 843.5006796; -1.1237395; -0.0030831; 55.7228506; 0.9434854
529.8488129; -148.9516487; 844.3595958; -1.1298262; -0.0030081; 55.7566942; 0.9448972
531.8482424; -147.1400704; 845.2079771; -1.1358046; -0.0029759; 55.7905678; 0.9462712
533.8476719; -145.3249193; 846.0448996; -1.1417257; -0.0029469; 55.8244701; 0.9481540
535.8471014; -143.5046165; 846.8712310; -1.1475839; -0.0029144; 55.8584192; 0.9506243
537.8465309; -141.6786164; 847.6873234; -1.1534215; -0.0029299; 55.8924360; 0.9524045
539.8459603; -139.8487933; 848.4923061; -1.1592737; -0.0028858; 55.9264959; 0.9543816
541.8453898; -138.0146100; 849.2866385; -1.1648961; -0.0027411; 55.9606056; 0.9589083
543.8448193; -136.1754681; 850.0705455; -1.1711914; -0.0036457; 55.9948562; 0.9612511
545.8442488; -134.3333374; 850.8400171; -1.1792038; -0.0040950; 56.0291694; 0.9634586
547.8436783; -132.4795234; 851.5967668; -1.1871760; -0.0038524; 56.0635404; 0.9627192
549.8431078; -130.6273315; 852.3366288; -1.1940986; -0.0031001; 56.0978639; 0.9631133
551.8425372; -128.7653499; 853.0669840; -1.1997648; -0.0027308; 56.1321805; 0.9635114
553.8419667; -126.8961736; 853.7883396; -1.2051904; -0.0026604; 56.1664903; 0.9635539
555.8413962; -125.0287410; 854.4985071; -1.2091540; -0.0013200; 56.2007807; 0.9652030
557.8408257; -123.1553900; 855.2050407; -1.2110972; -0.0012117; 56.2351088; 0.9668279
559.8402552; -121.2837690; 855.9055367; -1.2145893; -0.0022904; 56.2694737; 0.9717300
561.8396847; -119.4064307; 856.5989814; -1.2194157; -0.0025235; 56.3039917; 0.9738342
563.8391141; -117.5279354; 857.2821030; -1.2246749; -0.0027353; 56.3385632; 0.9760006
565.8385436; -115.6464050; 857.9547068; -1.2303460; -0.0029413; 56.3731904; 0.9797473
567.8379731; -113.7592108; 858.6168175; -1.2364755; -0.0031861; 56.4079291; 0.9815568
569.8374026; -111.8691167; 859.2665211; -1.2428979; -0.0030551; 56.4427106; 0.9833698
571.8368321; -109.9742101; 859.9050371; -1.2484934; -0.0025406; 56.4775348; 0.9860353
